id,text,source
1,"The app crashes every single time I try to upload a profile photo, it's incredibly frustrating.",review
2,"I was charged twice for my subscription this month. Please refund the duplicate charge immediately.",ticket
3,"It would be great if you added a dark mode option, my eyes hurt using this at night.",survey
4,"I can't figure out where the settings page is, the navigation menu is really confusing.",review
5,"Support took three full days to respond to my ticket and never actually fixed the issue.",ticket
6,"Love the redesign, it's so much cleaner and easier to use than the old version!",review
7,"The app takes forever to load on my phone, especially first thing in the morning.",review
8,"Your product is great but I've emailed support twice now with zero reply.",ticket
9,"Checkout button doesn't respond when I tap it, tried on two different phones.",ticket
10,"Checkout page just freezes after I enter my card details, super annoying.",review
11,"Absolutely fantastic customer service, resolved my issue in minutes!",review
12,"Would love to see an export-to-PDF feature added to the reports section.",survey
13,"Getting charged an extra $5 fee that wasn't mentioned anywhere at signup.",ticket
14,"App crashed and I lost all my unsaved work, this needs to be fixed ASAP.",ticket
15,"The onboarding flow is confusing, I didn't know what to do after signing up.",survey
16,"Been a customer for 2 years, still one of the best apps I use daily.",review
17,"Photos won't upload no matter what format I try, jpg or png, both fail.",ticket
18,"Everything about this app is just frustrating to use lately, hard to explain exactly why.",review
19,"Wish there was a way to bulk delete old notifications instead of one by one.",survey
20,"Refund request from three weeks ago still hasn't been processed.",ticket
21,"Search feature is really slow, takes 10+ seconds to return any results.",review
22,"Great update this month, the new dashboard is intuitive and fast.",review
23,"La aplicacion se bloquea cada vez que subo una foto de perfil.",review
24,"Customer support rep was rude and dismissive when I asked a simple question.",ticket
25,"Really appreciate how quickly the team shipped the accessibility improvements.",review
26,"Billing page shows the wrong plan, I'm on annual but it says monthly.",ticket
27,"Feature request: please add two-factor authentication, feels overdue.",survey
28,"App is unusable on older Android phones, constant lag and freezing.",review
29,"Thank you for fixing the login bug so fast, much appreciated!",review
30,"I don't understand why my account was suddenly downgraded without notice.",ticket
31,"5 stars",review
32,"meh",survey
33,"   ",review
34,"",ticket
